Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-11 00:00:00,0.0974,36.03,N
SALINITY (pss),1992-03-11 00:00:00,0.4872,36.03,N
SALINITY (pss),1992-03-11 00:00:00,0.9744,36.03,N
SALINITY (pss),1992-03-11 00:00:00,1.9487,36.03,N
SALINITY (pss),1992-03-11 00:00:00,2.9231,36.03,N
SALINITY (pss),1992-03-11 00:00:00,3.8974,36.03,N
SALINITY (pss),1992-03-11 00:00:00,4.8718,36.03,N
SALINITY (pss),1992-03-11 00:00:00,5.8462,36.03,N
SALINITY (pss),1992-03-11 00:00:00,6.8205,36.03,N
SALINITY (pss),1992-03-11 00:00:00,7.7949,36.03,N
SALINITY (pss),1992-03-11 00:00:00,8.7692,36.03,N
SALINITY (pss),1992-03-11 00:00:00,9.7436,36.03,N
SALINITY (pss),1992-03-11 00:00:00,10.7179,36.03,N
SALINITY (pss),1992-03-11 00:00:00,11.6923,36.08,N
SALINITY (pss),1992-03-11 00:00:00,12.6667,36.08,N
SALINITY (pss),1992-03-11 00:00:00,13.641,36.08,N
SALINITY (pss),1992-03-11 00:00:00,14.6154,36.08,N
SALINITY (pss),1992-03-11 00:00:00,15.5897,36.08,N
SALINITY (pss),1992-03-11 00:00:00,16.5641,36.08,N
SALINITY (pss),1992-03-11 00:00:00,17.5385,36.08,N
SALINITY (pss),1992-03-11 00:00:00,18.5128,36.08,N
SALINITY (pss),1992-03-11 00:00:00,19.4872,36.08,N
SALINITY (pss),1992-03-11 00:00:00,20.4615,36.08,N
SALINITY (pss),1992-03-11 00:00:00,21.4359,36.08,N
SALINITY (pss),1992-03-11 00:00:00,22.4103,36.08,N
SALINITY (pss),1992-03-11 00:00:00,23.3846,36.08,N
SALINITY (pss),1992-03-11 00:00:00,24.359,36.08,N
SALINITY (pss),1992-03-11 00:00:00,25.3333,36.08,N
SALINITY (pss),1992-03-11 00:00:00,26.3077,36.08,N
SALINITY (pss),1992-03-11 00:00:00,27.2821,36.08,N
SALINITY (pss),1992-03-11 00:00:00,28.2564,36.08,N
SALINITY (pss),1992-03-11 00:00:00,29.2308,36.08,N
SALINITY (pss),1992-03-11 00:00:00,30.2051,36.08,N
SALINITY (pss),1992-03-11 00:00:00,31.1795,36.08,N
SALINITY (pss),1992-03-11 00:00:00,32.1538,36.08,N
SALINITY (pss),1992-03-11 00:00:00,33.1282,36.08,N
SALINITY (pss),1992-03-11 00:00:00,34.1026,36.08,N
SALINITY (pss),1992-03-11 00:00:00,35.0769,36.08,N
SALINITY (pss),1992-03-11 00:00:00,36.0513,36.08,N
SALINITY (pss),1992-03-11 00:00:00,37.0256,36.08,N
SALINITY (pss),1992-03-11 00:00:00,38.0,36.08,N
SALINITY (pss),1992-03-12 00:00:00,0.1118,36.09,N
SALINITY (pss),1992-03-12 00:00:00,0.5588,36.1,N
SALINITY (pss),1992-03-12 00:00:00,1.1176,36.1,N
SALINITY (pss),1992-03-12 00:00:00,2.2353,36.1,N
SALINITY (pss),1992-03-12 00:00:00,3.3529,36.1,N
SALINITY (pss),1992-03-12 00:00:00,4.4706,36.1,N
SALINITY (pss),1992-03-12 00:00:00,5.5882,36.1,N
SALINITY (pss),1992-03-12 00:00:00,6.7059,36.1,N
SALINITY (pss),1992-03-12 00:00:00,7.8235,36.1,N
SALINITY (pss),1992-03-12 00:00:00,8.9412,36.1,N
SALINITY (pss),1992-03-12 00:00:00,10.0588,36.09,N
SALINITY (pss),1992-03-12 00:00:00,11.1765,36.09,N
SALINITY (pss),1992-03-12 00:00:00,12.2941,36.09,N
SALINITY (pss),1992-03-12 00:00:00,13.4118,36.09,N
SALINITY (pss),1992-03-12 00:00:00,14.5294,36.09,N
SALINITY (pss),1992-03-12 00:00:00,15.6471,36.09,N
SALINITY (pss),1992-03-12 00:00:00,16.7647,36.09,N
SALINITY (pss),1992-03-12 00:00:00,17.8824,36.09,N
SALINITY (pss),1992-03-12 00:00:00,19.0,36.09,N
SALINITY (pss),1992-03-12 00:00:00,20.1176,36.09,N
SALINITY (pss),1992-03-12 00:00:00,21.2353,36.09,N
SALINITY (pss),1992-03-12 00:00:00,22.3529,36.09,N
SALINITY (pss),1992-03-12 00:00:00,23.4706,36.09,N
SALINITY (pss),1992-03-12 00:00:00,24.5882,36.09,N
SALINITY (pss),1992-03-12 00:00:00,25.7059,36.09,N
SALINITY (pss),1992-03-12 00:00:00,26.8235,36.09,N
SALINITY (pss),1992-03-12 00:00:00,27.9412,36.09,N
SALINITY (pss),1992-03-12 00:00:00,29.0588,36.09,N
SALINITY (pss),1992-03-12 00:00:00,30.1765,36.09,N
SALINITY (pss),1992-03-12 00:00:00,31.2941,36.09,N
SALINITY (pss),1992-03-12 00:00:00,32.4118,36.09,N
SALINITY (pss),1992-03-12 00:00:00,33.5294,36.09,N
SALINITY (pss),1992-03-12 00:00:00,34.6471,36.09,N
SALINITY (pss),1992-03-12 00:00:00,35.7647,36.09,N
SALINITY (pss),1992-03-12 00:00:00,36.8824,36.09,N
SALINITY (pss),1992-03-12 00:00:00,38.0,36.09,N
SALINITY (pss),1992-03-13 00:00:00,0.095,36.06,N
SALINITY (pss),1992-03-13 00:00:00,0.475,36.06,N
SALINITY (pss),1992-03-13 00:00:00,0.95,36.06,N
SALINITY (pss),1992-03-13 00:00:00,1.9,36.06,N
SALINITY (pss),1992-03-13 00:00:00,2.85,36.06,N
SALINITY (pss),1992-03-13 00:00:00,3.8,36.06,N
SALINITY (pss),1992-03-13 00:00:00,4.75,36.06,N
SALINITY (pss),1992-03-13 00:00:00,5.7,36.06,N
SALINITY (pss),1992-03-13 00:00:00,6.65,36.06,N
SALINITY (pss),1992-03-13 00:00:00,7.6,36.06,N
SALINITY (pss),1992-03-13 00:00:00,8.55,36.06,N
SALINITY (pss),1992-03-13 00:00:00,9.5,36.06,N
SALINITY (pss),1992-03-13 00:00:00,10.45,36.06,N
SALINITY (pss),1992-03-13 00:00:00,11.4,36.06,N
SALINITY (pss),1992-03-13 00:00:00,12.35,36.06,N
SALINITY (pss),1992-03-13 00:00:00,13.3,36.06,N
SALINITY (pss),1992-03-13 00:00:00,14.25,36.06,N
SALINITY (pss),1992-03-13 00:00:00,15.2,36.06,N
SALINITY (pss),1992-03-13 00:00:00,16.15,36.06,N
SALINITY (pss),1992-03-13 00:00:00,17.1,36.06,N
SALINITY (pss),1992-03-13 00:00:00,18.05,36.06,N
SALINITY (pss),1992-03-13 00:00:00,19.0,36.06,N
SALINITY (pss),1992-03-13 00:00:00,19.95,36.06,N
SALINITY (pss),1992-03-13 00:00:00,20.9,36.06,N
SALINITY (pss),1992-03-13 00:00:00,21.85,36.06,N
SALINITY (pss),1992-03-13 00:00:00,22.8,36.06,N
SALINITY (pss),1992-03-13 00:00:00,23.75,36.06,N
SALINITY (pss),1992-03-13 00:00:00,24.7,36.06,N
SALINITY (pss),1992-03-13 00:00:00,25.65,36.06,N
SALINITY (pss),1992-03-13 00:00:00,26.6,36.06,N
SALINITY (pss),1992-03-13 00:00:00,27.55,36.06,N
SALINITY (pss),1992-03-13 00:00:00,28.5,36.06,N
SALINITY (pss),1992-03-13 00:00:00,29.45,36.06,N
SALINITY (pss),1992-03-13 00:00:00,30.4,36.06,N
SALINITY (pss),1992-03-13 00:00:00,31.35,36.06,N
SALINITY (pss),1992-03-13 00:00:00,32.3,36.06,N
SALINITY (pss),1992-03-13 00:00:00,33.25,36.06,N
SALINITY (pss),1992-03-13 00:00:00,34.2,36.06,N
SALINITY (pss),1992-03-13 00:00:00,35.15,36.06,N
SALINITY (pss),1992-03-13 00:00:00,36.1,36.06,N
SALINITY (pss),1992-03-13 00:00:00,37.05,36.06,N
SALINITY (pss),1992-03-13 00:00:00,38.0,36.06,N
SALINITY (pss),1992-03-23 00:00:00,0.1,35.93,N
SALINITY (pss),1992-03-23 00:00:00,0.5,35.93,N
SALINITY (pss),1992-03-23 00:00:00,1.0,35.93,N
SALINITY (pss),1992-03-23 00:00:00,2.0,35.93,N
SALINITY (pss),1992-03-23 00:00:00,3.0,35.98,N
SALINITY (pss),1992-03-23 00:00:00,4.0,35.96,N
SALINITY (pss),1992-03-23 00:00:00,5.0,35.96,N
SALINITY (pss),1992-03-23 00:00:00,6.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,7.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,8.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,9.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,10.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,11.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,12.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,13.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,14.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,15.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,16.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,17.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,18.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,19.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,20.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,21.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,22.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,23.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,24.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,25.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,26.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,27.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,28.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,29.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,30.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,31.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,32.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,33.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,34.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,35.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,36.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,37.0,35.94,N
SALINITY (pss),1992-03-23 00:00:00,38.0,35.94,N
SALINITY (pss),1992-03-24 00:00:00,0.0,35.96,N
SALINITY (pss),1992-03-24 00:00:00,0.475,35.96,N
SALINITY (pss),1992-03-24 00:00:00,0.95,35.96,N
SALINITY (pss),1992-03-24 00:00:00,1.9,35.96,N
SALINITY (pss),1992-03-24 00:00:00,2.85,35.96,N
SALINITY (pss),1992-03-24 00:00:00,3.8,35.96,N
SALINITY (pss),1992-03-24 00:00:00,4.75,35.96,N
SALINITY (pss),1992-03-24 00:00:00,5.7,35.96,N
SALINITY (pss),1992-03-24 00:00:00,6.65,35.96,N
SALINITY (pss),1992-03-24 00:00:00,7.6,35.96,N
SALINITY (pss),1992-03-24 00:00:00,8.55,35.96,N
SALINITY (pss),1992-03-24 00:00:00,9.5,35.96,N
SALINITY (pss),1992-03-24 00:00:00,10.45,35.96,N
SALINITY (pss),1992-03-24 00:00:00,11.4,35.96,N
SALINITY (pss),1992-03-24 00:00:00,12.35,35.96,N
SALINITY (pss),1992-03-24 00:00:00,13.3,35.96,N
SALINITY (pss),1992-03-24 00:00:00,14.25,35.96,N
SALINITY (pss),1992-03-24 00:00:00,15.2,35.96,N
SALINITY (pss),1992-03-24 00:00:00,16.15,35.96,N
SALINITY (pss),1992-03-24 00:00:00,17.1,35.96,N
SALINITY (pss),1992-03-24 00:00:00,18.05,35.96,N
SALINITY (pss),1992-03-24 00:00:00,19.0,35.96,N
SALINITY (pss),1992-03-24 00:00:00,19.95,35.96,N
SALINITY (pss),1992-03-24 00:00:00,20.9,35.96,N
SALINITY (pss),1992-03-24 00:00:00,21.85,35.96,N
SALINITY (pss),1992-03-24 00:00:00,22.8,35.96,N
SALINITY (pss),1992-03-24 00:00:00,23.75,35.96,N
SALINITY (pss),1992-03-24 00:00:00,24.7,35.96,N
SALINITY (pss),1992-03-24 00:00:00,25.65,35.96,N
SALINITY (pss),1992-03-24 00:00:00,26.6,35.96,N
SALINITY (pss),1992-03-24 00:00:00,27.55,35.96,N
SALINITY (pss),1992-03-24 00:00:00,28.5,35.96,N
SALINITY (pss),1992-03-24 00:00:00,29.45,36.0,N
SALINITY (pss),1992-03-24 00:00:00,30.4,36.0,N
SALINITY (pss),1992-03-24 00:00:00,31.35,36.0,N
