Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-16 00:00:00,0.1,15.35,N
SALINITY (pss),1991-08-16 00:00:00,0.5,15.35,N
SALINITY (pss),1991-08-16 00:00:00,1.0,15.35,N
SALINITY (pss),1991-08-16 00:00:00,2.0,15.35,N
SALINITY (pss),1991-08-16 00:00:00,3.0,15.35,N
SALINITY (pss),1991-08-16 00:00:00,4.0,15.35,N
SALINITY (pss),1991-08-16 00:00:00,5.0,15.35,N
SALINITY (pss),1991-08-16 00:00:00,6.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,7.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,8.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,9.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,10.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,11.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,12.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,13.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,14.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,15.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,16.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,17.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,18.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,19.0,35.37,N
SALINITY (pss),1991-08-16 00:00:00,20.0,35.29,N
SALINITY (pss),1991-08-16 00:00:00,21.0,35.29,N
SALINITY (pss),1991-08-16 00:00:00,22.0,35.29,N
SALINITY (pss),1991-08-16 00:00:00,23.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,24.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,25.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,26.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,27.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,28.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,29.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,30.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,31.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,32.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,33.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,34.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,35.0,35.22,N
SALINITY (pss),1991-08-16 00:00:00,36.0,35.22,N
SALINITY (pss),1991-08-20 00:00:00,0.1,35.29,N
SALINITY (pss),1991-08-20 00:00:00,0.5,35.29,N
SALINITY (pss),1991-08-20 00:00:00,1.0,35.29,N
SALINITY (pss),1991-08-20 00:00:00,2.0,35.29,N
SALINITY (pss),1991-08-20 00:00:00,3.0,35.29,N
SALINITY (pss),1991-08-20 00:00:00,4.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,5.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,6.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,7.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,8.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,9.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,10.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,11.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,12.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,13.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,14.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,15.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,16.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,17.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,18.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,19.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,20.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,21.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,22.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,23.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,24.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,25.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,26.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,27.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,28.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,29.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,30.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,31.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,32.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,33.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,34.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,35.0,35.3,N
SALINITY (pss),1991-08-20 00:00:00,36.0,35.3,N
SALINITY (pss),1991-08-21 00:00:00,0.0973,35.23,N
SALINITY (pss),1991-08-21 00:00:00,0.4865,35.23,N
SALINITY (pss),1991-08-21 00:00:00,0.973,35.23,N
SALINITY (pss),1991-08-21 00:00:00,1.9459,35.26,N
SALINITY (pss),1991-08-21 00:00:00,2.9189,35.26,N
SALINITY (pss),1991-08-21 00:00:00,3.8919,35.26,N
SALINITY (pss),1991-08-21 00:00:00,4.8649,35.26,N
SALINITY (pss),1991-08-21 00:00:00,5.8378,35.26,N
SALINITY (pss),1991-08-21 00:00:00,6.8108,35.26,N
SALINITY (pss),1991-08-21 00:00:00,7.7838,35.26,N
SALINITY (pss),1991-08-21 00:00:00,8.7568,35.26,N
SALINITY (pss),1991-08-21 00:00:00,9.7297,35.26,N
SALINITY (pss),1991-08-21 00:00:00,10.7027,35.26,N
SALINITY (pss),1991-08-21 00:00:00,11.6757,35.26,N
SALINITY (pss),1991-08-21 00:00:00,12.6486,35.26,N
SALINITY (pss),1991-08-21 00:00:00,13.6216,35.26,N
SALINITY (pss),1991-08-21 00:00:00,14.5946,35.26,N
SALINITY (pss),1991-08-21 00:00:00,15.5676,35.26,N
SALINITY (pss),1991-08-21 00:00:00,16.5405,35.26,N
SALINITY (pss),1991-08-21 00:00:00,17.5135,35.26,N
SALINITY (pss),1991-08-21 00:00:00,18.4865,35.26,N
SALINITY (pss),1991-08-21 00:00:00,19.4595,35.26,N
SALINITY (pss),1991-08-21 00:00:00,20.4324,35.26,N
SALINITY (pss),1991-08-21 00:00:00,21.4054,35.26,N
SALINITY (pss),1991-08-21 00:00:00,22.3784,35.26,N
SALINITY (pss),1991-08-21 00:00:00,23.3514,35.26,N
SALINITY (pss),1991-08-21 00:00:00,24.3243,35.26,N
SALINITY (pss),1991-08-21 00:00:00,25.2973,35.26,N
SALINITY (pss),1991-08-21 00:00:00,26.2703,35.26,N
SALINITY (pss),1991-08-21 00:00:00,27.2432,35.26,N
SALINITY (pss),1991-08-21 00:00:00,28.2162,35.26,N
SALINITY (pss),1991-08-21 00:00:00,29.1892,35.26,N
SALINITY (pss),1991-08-21 00:00:00,30.1622,35.26,N
SALINITY (pss),1991-08-21 00:00:00,31.1351,35.26,N
SALINITY (pss),1991-08-21 00:00:00,32.1081,35.26,N
SALINITY (pss),1991-08-21 00:00:00,33.0811,35.26,N
SALINITY (pss),1991-08-21 00:00:00,34.054,35.26,N
SALINITY (pss),1991-08-21 00:00:00,35.027,35.26,N
SALINITY (pss),1991-08-21 00:00:00,36.0,35.26,N
SALINITY (pss),1991-08-22 00:00:00,0.0973,35.22,N
SALINITY (pss),1991-08-22 00:00:00,0.4865,35.22,N
SALINITY (pss),1991-08-22 00:00:00,0.973,35.22,N
SALINITY (pss),1991-08-22 00:00:00,1.9459,35.22,N
SALINITY (pss),1991-08-22 00:00:00,2.9189,35.22,N
SALINITY (pss),1991-08-22 00:00:00,3.8919,35.22,N
SALINITY (pss),1991-08-22 00:00:00,4.8649,35.22,N
SALINITY (pss),1991-08-22 00:00:00,5.8378,35.22,N
SALINITY (pss),1991-08-22 00:00:00,6.8108,35.22,N
SALINITY (pss),1991-08-22 00:00:00,7.7838,35.22,N
SALINITY (pss),1991-08-22 00:00:00,8.7568,35.22,N
SALINITY (pss),1991-08-22 00:00:00,9.7297,35.22,N
SALINITY (pss),1991-08-22 00:00:00,10.7027,35.22,N
SALINITY (pss),1991-08-22 00:00:00,11.6757,35.22,N
SALINITY (pss),1991-08-22 00:00:00,12.6486,35.22,N
SALINITY (pss),1991-08-22 00:00:00,13.6216,35.22,N
SALINITY (pss),1991-08-22 00:00:00,14.5946,35.22,N
SALINITY (pss),1991-08-22 00:00:00,15.5676,35.22,N
SALINITY (pss),1991-08-22 00:00:00,16.5405,35.22,N
SALINITY (pss),1991-08-22 00:00:00,17.5135,35.22,N
SALINITY (pss),1991-08-22 00:00:00,18.4865,35.22,N
SALINITY (pss),1991-08-22 00:00:00,19.4595,35.22,N
SALINITY (pss),1991-08-22 00:00:00,20.4324,35.22,N
SALINITY (pss),1991-08-22 00:00:00,21.4054,35.22,N
SALINITY (pss),1991-08-22 00:00:00,22.3784,35.22,N
SALINITY (pss),1991-08-22 00:00:00,23.3514,35.22,N
SALINITY (pss),1991-08-22 00:00:00,24.3243,35.22,N
SALINITY (pss),1991-08-22 00:00:00,25.2973,35.22,N
SALINITY (pss),1991-08-22 00:00:00,26.2703,35.22,N
SALINITY (pss),1991-08-22 00:00:00,27.2432,35.22,N
SALINITY (pss),1991-08-22 00:00:00,28.2162,35.22,N
SALINITY (pss),1991-08-22 00:00:00,29.1892,35.22,N
SALINITY (pss),1991-08-22 00:00:00,30.1622,35.22,N
SALINITY (pss),1991-08-22 00:00:00,31.1351,35.22,N
SALINITY (pss),1991-08-22 00:00:00,32.1081,35.22,N
SALINITY (pss),1991-08-22 00:00:00,33.0811,35.22,N
