Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-16 00:00:00,0.0958,16.6,N
TEMPERATURE (C),1991-08-16 00:00:00,0.4792,16.6,N
TEMPERATURE (C),1991-08-16 00:00:00,0.9583,16.6,N
TEMPERATURE (C),1991-08-16 00:00:00,1.9167,16.58,N
TEMPERATURE (C),1991-08-16 00:00:00,2.875,16.58,N
TEMPERATURE (C),1991-08-16 00:00:00,3.8333,16.56,N
TEMPERATURE (C),1991-08-16 00:00:00,4.7917,16.56,N
TEMPERATURE (C),1991-08-16 00:00:00,5.75,16.55,N
TEMPERATURE (C),1991-08-16 00:00:00,6.7083,16.55,N
TEMPERATURE (C),1991-08-16 00:00:00,7.6667,16.55,N
TEMPERATURE (C),1991-08-16 00:00:00,8.625,16.55,N
TEMPERATURE (C),1991-08-16 00:00:00,9.5833,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,10.5417,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,11.5,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,12.4583,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,13.4167,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,14.375,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,15.3333,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,16.2917,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,17.25,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,18.2083,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,19.1667,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,20.125,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,21.0833,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,22.0417,16.5,N
TEMPERATURE (C),1991-08-16 00:00:00,23.0,16.5,N
