Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-16 00:00:00,0.1048,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,0.5238,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.0476,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,2.0952,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.1429,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,4.1905,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,5.2381,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.2857,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,7.3333,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,8.381,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,9.4286,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,10.4762,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,11.5238,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,12.5714,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,13.619,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,14.6667,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,15.7143,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,16.7619,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,17.8095,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,18.8571,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,19.9048,25.5553,N
DENSITY (kgm-3),1991-08-16 00:00:00,20.9524,25.5629,N
DENSITY (kgm-3),1991-08-16 00:00:00,22.0,25.5629,N
DENSITY (kgm-3),1991-08-20 00:00:00,0.11,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,0.55,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,1.1,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,2.2,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,3.3,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,4.4,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,5.5,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,6.6,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,7.7,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,8.8,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,9.9,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,11.0,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,12.1,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,13.2,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,14.3,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,15.4,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,16.5,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,17.6,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,18.7,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,19.8,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,20.9,25.5701,N
DENSITY (kgm-3),1991-08-20 00:00:00,22.0,25.5701,N
DENSITY (kgm-3),1991-08-21 00:00:00,0.11,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,0.55,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.1,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,2.2,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,3.3,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,4.4,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,5.5,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,6.6,25.6119,N
DENSITY (kgm-3),1991-08-21 00:00:00,7.7,25.6119,N
