Variable,Date,Depth,Data,QC
TEMPERATURE (C),1992-03-09 00:00:00,0.125,24.4,N
TEMPERATURE (C),1992-03-09 00:00:00,0.625,24.4,N
TEMPERATURE (C),1992-03-09 00:00:00,1.25,24.4,N
TEMPERATURE (C),1992-03-09 00:00:00,2.5,24.4,N
TEMPERATURE (C),1992-03-09 00:00:00,3.75,24.4,N
TEMPERATURE (C),1992-03-09 00:00:00,5.0,24.4,N
TEMPERATURE (C),1992-03-25 00:00:00,0.0,22.795,N
TEMPERATURE (C),1992-03-25 00:00:00,0.8333,22.795,N
TEMPERATURE (C),1992-03-25 00:00:00,1.6667,22.795,N
TEMPERATURE (C),1992-03-25 00:00:00,3.3333,22.795,N
TEMPERATURE (C),1992-03-25 00:00:00,5.0,22.795,N
