Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-13 00:00:00,0.1083,34.67,N
SALINITY (pss),1991-08-13 00:00:00,0.5417,34.67,N
SALINITY (pss),1991-08-13 00:00:00,1.0833,34.67,N
SALINITY (pss),1991-08-13 00:00:00,2.1667,34.67,N
SALINITY (pss),1991-08-13 00:00:00,3.25,34.67,N
SALINITY (pss),1991-08-13 00:00:00,4.3333,34.67,N
SALINITY (pss),1991-08-13 00:00:00,5.4167,34.67,N
SALINITY (pss),1991-08-13 00:00:00,6.5,34.67,N
SALINITY (pss),1991-08-13 00:00:00,7.5833,34.67,N
SALINITY (pss),1991-08-13 00:00:00,8.6667,34.67,N
SALINITY (pss),1991-08-13 00:00:00,9.75,34.67,N
SALINITY (pss),1991-08-13 00:00:00,10.8333,34.67,N
SALINITY (pss),1991-08-13 00:00:00,11.9167,34.67,N
SALINITY (pss),1991-08-13 00:00:00,13.0,34.67,N
SALINITY (pss),1991-08-14 00:00:00,0.1182,34.62,N
SALINITY (pss),1991-08-14 00:00:00,0.5909,34.64,N
SALINITY (pss),1991-08-14 00:00:00,1.1818,34.64,N
SALINITY (pss),1991-08-14 00:00:00,2.3636,34.64,N
SALINITY (pss),1991-08-14 00:00:00,3.5455,34.64,N
SALINITY (pss),1991-08-14 00:00:00,4.7273,34.64,N
SALINITY (pss),1991-08-14 00:00:00,5.9091,34.64,N
SALINITY (pss),1991-08-14 00:00:00,7.0909,34.64,N
SALINITY (pss),1991-08-14 00:00:00,8.2727,34.64,N
SALINITY (pss),1991-08-14 00:00:00,9.4545,34.64,N
SALINITY (pss),1991-08-14 00:00:00,10.6364,34.64,N
SALINITY (pss),1991-08-14 00:00:00,11.8182,34.64,N
SALINITY (pss),1991-08-14 00:00:00,13.0,34.64,N
SALINITY (pss),1991-08-17 00:00:00,0.1083,34.72,N
SALINITY (pss),1991-08-17 00:00:00,0.5417,34.72,N
SALINITY (pss),1991-08-17 00:00:00,1.0833,34.72,N
SALINITY (pss),1991-08-17 00:00:00,2.1667,34.72,N
SALINITY (pss),1991-08-17 00:00:00,3.25,34.72,N
SALINITY (pss),1991-08-17 00:00:00,4.3333,34.72,N
SALINITY (pss),1991-08-17 00:00:00,5.4167,34.72,N
SALINITY (pss),1991-08-17 00:00:00,6.5,34.72,N
SALINITY (pss),1991-08-17 00:00:00,7.5833,34.72,N
