Variable,Date,Depth,Data,QC
SALINITY (pss),1992-03-09 00:00:00,0.1143,36.4,N
SALINITY (pss),1992-03-09 00:00:00,0.5714,36.4,N
SALINITY (pss),1992-03-09 00:00:00,1.1429,36.4,N
SALINITY (pss),1992-03-09 00:00:00,2.2857,36.4,N
SALINITY (pss),1992-03-09 00:00:00,3.4286,36.4,N
SALINITY (pss),1992-03-09 00:00:00,4.5714,36.4,N
SALINITY (pss),1992-03-09 00:00:00,5.7143,36.4,N
SALINITY (pss),1992-03-09 00:00:00,6.8571,36.4,N
SALINITY (pss),1992-03-09 00:00:00,8.0,36.4,N
SALINITY (pss),1992-03-09 00:00:00,9.1429,36.41,N
SALINITY (pss),1992-03-09 00:00:00,10.2857,36.41,N
SALINITY (pss),1992-03-09 00:00:00,11.4286,36.45,N
SALINITY (pss),1992-03-09 00:00:00,12.5714,36.45,N
SALINITY (pss),1992-03-09 00:00:00,13.7143,36.45,N
SALINITY (pss),1992-03-09 00:00:00,14.8571,36.45,N
SALINITY (pss),1992-03-09 00:00:00,16.0,36.45,N
