Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-14 00:00:00,0.1,48600.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,0.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,0.4,48620.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,0.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,0.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,1.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,1.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,2.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,2.9,48620.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,4.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,4.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,5.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,6.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,6.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,8.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,9.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,10.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,10.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,12.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,12.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,14.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,15.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,15.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,16.4,48620.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,17.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,18.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,19.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,20.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,20.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,21.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,22.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,23.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,25.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,25.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,25.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,26.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,27.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,28.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,29.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,30.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,30.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,31.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,32.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,33.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,34.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,35.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,35.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,36.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,38.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,40.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,40.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,41.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,41.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,42.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,42.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,43.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,44.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,46.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,47.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,47.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,48.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,48.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,50.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,51.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,51.9,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,53.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,54.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,55.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,56.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,57.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,57.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,58.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,58.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,59.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,60.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,62.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,63.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,63.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,65.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,66.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,66.4,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,68.0,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,68.3,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,69.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,69.8,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,70.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,71.6,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,72.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,73.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,74.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,76.1,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,77.5,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,78.7,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,79.2,48640.0,N
CONDUCTIVITY (sm),1991-08-14 00:00:00,80.2,48640.0,N
