Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-21 00:00:00,0.1,25.5518,N
DENSITY (kgm-3),1991-08-21 00:00:00,0.3,25.5427,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.0,25.5425,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.2,25.5466,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.3,25.5332,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.4,25.5515,N
DENSITY (kgm-3),1991-08-21 00:00:00,1.8,25.5514,N
DENSITY (kgm-3),1991-08-21 00:00:00,2.5,25.5511,N
DENSITY (kgm-3),1991-08-21 00:00:00,2.9,25.551,N
DENSITY (kgm-3),1991-08-21 00:00:00,3.7,25.5819,N
DENSITY (kgm-3),1991-08-21 00:00:00,3.8,25.5727,N
DENSITY (kgm-3),1991-08-21 00:00:00,4.3,25.5726,N
DENSITY (kgm-3),1991-08-21 00:00:00,5.2,25.5815,N
DENSITY (kgm-3),1991-08-21 00:00:00,5.7,25.5814,N
DENSITY (kgm-3),1991-08-21 00:00:00,6.1,25.6212,N
DENSITY (kgm-3),1991-08-21 00:00:00,6.8,25.6157,N
DENSITY (kgm-3),1991-08-21 00:00:00,7.2,25.6156,N
DENSITY (kgm-3),1991-08-21 00:00:00,7.5,25.62,N
DENSITY (kgm-3),1991-08-21 00:00:00,7.9,25.6199,N
DENSITY (kgm-3),1991-08-21 00:00:00,8.6,25.691,N
DENSITY (kgm-3),1991-08-21 00:00:00,9.9,25.7495,N
DENSITY (kgm-3),1991-08-21 00:00:00,10.5,25.7535,N
DENSITY (kgm-3),1991-08-21 00:00:00,11.4,25.7533,N
DENSITY (kgm-3),1991-08-21 00:00:00,12.0,25.7531,N
DENSITY (kgm-3),1991-08-21 00:00:00,12.1,25.7531,N
DENSITY (kgm-3),1991-08-21 00:00:00,12.9,25.7661,N
DENSITY (kgm-3),1991-08-21 00:00:00,13.1,25.7661,N
DENSITY (kgm-3),1991-08-21 00:00:00,13.2,25.7527,N
DENSITY (kgm-3),1991-08-21 00:00:00,13.3,25.7527,N
DENSITY (kgm-3),1991-08-21 00:00:00,14.8,25.7656,N
DENSITY (kgm-3),1992-03-11 00:00:00,2.4,24.993,N
DENSITY (kgm-3),1992-03-11 00:00:00,2.7,24.9929,N
DENSITY (kgm-3),1992-03-11 00:00:00,3.4,24.981,N
DENSITY (kgm-3),1992-03-11 00:00:00,4.3,24.9807,N
DENSITY (kgm-3),1992-03-11 00:00:00,4.9,24.9806,N
DENSITY (kgm-3),1992-03-11 00:00:00,5.3,24.9805,N
DENSITY (kgm-3),1992-03-11 00:00:00,6.0,24.9802,N
DENSITY (kgm-3),1992-03-11 00:00:00,6.4,24.9802,N
DENSITY (kgm-3),1992-03-11 00:00:00,7.2,24.98,N
DENSITY (kgm-3),1992-03-11 00:00:00,7.6,24.9799,N
DENSITY (kgm-3),1992-03-11 00:00:00,8.0,24.9888,N
DENSITY (kgm-3),1992-03-11 00:00:00,8.7,24.9796,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.0,24.9795,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.5,24.9912,N
DENSITY (kgm-3),1992-03-11 00:00:00,9.9,24.9792,N
DENSITY (kgm-3),1992-03-11 00:00:00,10.9,24.979,N
DENSITY (kgm-3),1992-03-11 00:00:00,11.1,24.979,N
DENSITY (kgm-3),1992-03-11 00:00:00,11.6,24.9788,N
DENSITY (kgm-3),1992-03-11 00:00:00,12.1,24.9905,N
DENSITY (kgm-3),1992-03-11 00:00:00,12.5,24.9786,N
DENSITY (kgm-3),1992-03-11 00:00:00,13.1,24.9904,N
DENSITY (kgm-3),1992-03-11 00:00:00,14.0,24.9901,N
