Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-14 00:00:00,0.9,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,1.0,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,1.2,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,1.3,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,1.6,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,2.4,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,3.5,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,4.0,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,4.6,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,5.9,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,6.6,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,8.2,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,8.8,19.95,N
TEMPERATURE (C),1991-08-14 00:00:00,10.2,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,10.5,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,11.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,11.6,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,12.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,13.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,14.2,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,14.7,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,15.6,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,17.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,18.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,19.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,20.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,20.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,22.5,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,24.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,24.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,24.4,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,25.7,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,25.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,26.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,27.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,27.7,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,28.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,29.4,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,30.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,31.5,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,32.4,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,33.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,34.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,35.5,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,35.6,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,36.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,37.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,38.5,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,39.2,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,39.6,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,40.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,41.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,42.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,42.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,43.2,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,43.6,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,43.7,19.93,N
TEMPERATURE (C),1991-08-14 00:00:00,45.3,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,45.4,19.93,N
TEMPERATURE (C),1991-08-14 00:00:00,45.8,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,47.7,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,47.8,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,48.9,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,50.0,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,51.1,19.94,N
TEMPERATURE (C),1991-08-14 00:00:00,52.6,19.93,N
TEMPERATURE (C),1991-08-14 00:00:00,53.4,19.93,N
TEMPERATURE (C),1991-08-14 00:00:00,54.4,19.93,N
TEMPERATURE (C),1991-08-14 00:00:00,56.2,19.92,N
TEMPERATURE (C),1991-08-14 00:00:00,57.1,19.88,N
TEMPERATURE (C),1991-08-14 00:00:00,58.2,19.84,N
TEMPERATURE (C),1991-08-14 00:00:00,59.6,19.82,N
TEMPERATURE (C),1991-08-14 00:00:00,60.1,19.79,N
TEMPERATURE (C),1991-08-14 00:00:00,60.2,19.8,N
TEMPERATURE (C),1991-08-14 00:00:00,60.3,19.81,N
TEMPERATURE (C),1991-08-14 00:00:00,60.5,19.83,N
TEMPERATURE (C),1991-08-14 00:00:00,61.3,19.78,N
TEMPERATURE (C),1991-08-14 00:00:00,62.2,19.76,N
TEMPERATURE (C),1991-08-14 00:00:00,62.6,19.74,N
TEMPERATURE (C),1991-08-14 00:00:00,64.0,19.71,N
TEMPERATURE (C),1991-08-14 00:00:00,64.4,19.69,N
TEMPERATURE (C),1991-08-14 00:00:00,65.3,19.68,N
TEMPERATURE (C),1991-08-14 00:00:00,67.3,19.5,N
TEMPERATURE (C),1991-08-14 00:00:00,67.5,19.47,N
TEMPERATURE (C),1991-08-14 00:00:00,68.9,19.29,N
TEMPERATURE (C),1991-08-14 00:00:00,70.8,19.14,N
TEMPERATURE (C),1991-08-14 00:00:00,72.9,19.06,N
TEMPERATURE (C),1991-08-21 00:00:00,0.9,19.98,N
TEMPERATURE (C),1991-08-21 00:00:00,1.5,20.01,N
TEMPERATURE (C),1991-08-21 00:00:00,1.8,20.02,N
TEMPERATURE (C),1991-08-21 00:00:00,2.0,20.02,N
TEMPERATURE (C),1991-08-21 00:00:00,2.2,20.02,N
TEMPERATURE (C),1991-08-21 00:00:00,3.1,20.02,N
