Variable,Date,Depth,Data,QC
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.2,45400.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,0.7,45380.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.1,45380.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.5,45380.0,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,1.9,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,2.4,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,2.9,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,3.4,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,3.7,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,4.1,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,4.6,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,5.3,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,5.5,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,6.0,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,6.4,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,7.0,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,7.3,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,7.8,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,8.1,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,8.7,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,9.1,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,9.6,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,9.9,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,10.4,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,10.9,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,11.4,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,11.9,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,12.3,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,12.6,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,13.2,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,13.5,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-13 00:00:00,13.8,45359.99999999999,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,0.1,44660.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,1.0,44660.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,2.1,44680.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,3.3,44680.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,4.1,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,5.0,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,5.9,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,6.9,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,7.0,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,7.7,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,8.9,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,9.7,44700.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,9.8,44660.0,N
CONDUCTIVITY (sm),1991-08-15 00:00:00,9.9,44700.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,0.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,0.3,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,0.5,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,0.7,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,1.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,1.2,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,1.4,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,1.6,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,1.8,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,2.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,2.2,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,2.3,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,2.6,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,2.9,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.2,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.4,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.5,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.6,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,3.9,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,4.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,4.4,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,4.5,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,4.7,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,4.9,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,5.1,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,5.6,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,5.9,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,6.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,6.2,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,6.7,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,6.8,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,7.2,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,7.4,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,7.7,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,8.0,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,8.3,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,8.5,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,9.0,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,9.3,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,9.5,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,9.8,44680.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,9.9,44660.0,N
CONDUCTIVITY (sm),1991-08-16 00:00:00,10.1,44660.0,N
