Variable,Date,Depth,Data,QC
SALINITY (pss),1991-08-13 00:00:00,0.9,35.3718,N
SALINITY (pss),1991-08-13 00:00:00,1.2,35.3717,N
SALINITY (pss),1991-08-13 00:00:00,1.4,35.3716,N
SALINITY (pss),1991-08-13 00:00:00,1.7,35.3715,N
SALINITY (pss),1991-08-13 00:00:00,1.9,35.3714,N
SALINITY (pss),1991-08-13 00:00:00,2.2,35.3882,N
SALINITY (pss),1991-08-13 00:00:00,2.5,35.3712,N
SALINITY (pss),1991-08-13 00:00:00,2.6,35.388,N
SALINITY (pss),1991-08-13 00:00:00,3.6,35.3708,N
SALINITY (pss),1991-08-13 00:00:00,4.0,35.3875,N
SALINITY (pss),1991-08-13 00:00:00,4.1,35.3706,N
SALINITY (pss),1991-08-13 00:00:00,5.3,35.3702,N
SALINITY (pss),1991-08-13 00:00:00,6.0,35.3868,N
SALINITY (pss),1991-08-13 00:00:00,6.3,35.3867,N
SALINITY (pss),1991-08-13 00:00:00,6.9,35.3781,N
SALINITY (pss),1991-08-13 00:00:00,7.3,35.3614,N
SALINITY (pss),1991-08-13 00:00:00,7.9,35.3866,N
SALINITY (pss),1991-08-13 00:00:00,8.4,35.3696,N
SALINITY (pss),1991-08-13 00:00:00,9.5,35.3863,N
SALINITY (pss),1991-08-13 00:00:00,9.7,35.378,N
SALINITY (pss),1991-08-13 00:00:00,10.5,35.3697,N
SALINITY (pss),1991-08-13 00:00:00,10.8,35.3695,N
SALINITY (pss),1991-08-13 00:00:00,11.4,35.3779,N
SALINITY (pss),1991-08-13 00:00:00,12.1,35.3777,N
SALINITY (pss),1991-08-13 00:00:00,12.6,35.3606,N
SALINITY (pss),1991-08-13 00:00:00,12.8,35.3691,N
SALINITY (pss),1991-08-13 00:00:00,12.9,35.3777,N
SALINITY (pss),1991-08-13 00:00:00,13.8,35.3773,N
SALINITY (pss),1991-08-13 00:00:00,14.7,35.3856,N
SALINITY (pss),1991-08-13 00:00:00,14.8,35.3856,N
SALINITY (pss),1991-08-13 00:00:00,15.5,35.3939,N
SALINITY (pss),1991-08-13 00:00:00,16.1,35.4023,N
SALINITY (pss),1991-08-13 00:00:00,16.2,35.3853,N
SALINITY (pss),1991-08-13 00:00:00,17.0,35.3767,N
SALINITY (pss),1991-08-13 00:00:00,17.1,35.3936,N
SALINITY (pss),1991-08-13 00:00:00,17.8,35.3933,N
SALINITY (pss),1991-08-13 00:00:00,18.1,35.4015,N
SALINITY (pss),1991-08-13 00:00:00,18.6,35.393,N
SALINITY (pss),1991-08-13 00:00:00,18.7,35.393,N
SALINITY (pss),1991-08-13 00:00:00,19.1,35.4098,N
SALINITY (pss),1991-08-13 00:00:00,19.5,35.3927,N
SALINITY (pss),1991-08-13 00:00:00,19.8,35.4095,N
SALINITY (pss),1991-08-13 00:00:00,20.3,35.3924,N
