Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-15 00:00:00,1.1,18.41,N
TEMPERATURE (C),1991-08-15 00:00:00,3.0,18.42,N
TEMPERATURE (C),1991-08-15 00:00:00,5.0,18.42,N
TEMPERATURE (C),1991-08-15 00:00:00,7.0,18.42,N
TEMPERATURE (C),1991-08-15 00:00:00,8.9,18.41,N
TEMPERATURE (C),1991-08-15 00:00:00,10.9,18.41,N
TEMPERATURE (C),1991-08-15 00:00:00,12.8,18.41,N
TEMPERATURE (C),1991-08-15 00:00:00,14.8,18.41,N
TEMPERATURE (C),1991-08-15 00:00:00,16.8,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,18.6,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,20.4,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,22.1,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,23.8,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,25.6,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,27.3,18.4,N
TEMPERATURE (C),1991-08-15 00:00:00,29.1,18.39,N
TEMPERATURE (C),1991-08-15 00:00:00,30.9,18.39,N
TEMPERATURE (C),1991-08-15 00:00:00,32.8,18.39,N
TEMPERATURE (C),1991-08-15 00:00:00,34.7,18.38,N
TEMPERATURE (C),1991-08-15 00:00:00,36.5,18.38,N
TEMPERATURE (C),1991-08-15 00:00:00,38.3,18.39,N
TEMPERATURE (C),1991-08-15 00:00:00,40.1,18.31,N
TEMPERATURE (C),1991-08-15 00:00:00,41.8,18.07,N
TEMPERATURE (C),1991-08-15 00:00:00,43.6,17.99,N
TEMPERATURE (C),1991-08-15 00:00:00,43.9,17.99,N
TEMPERATURE (C),1991-08-15 00:00:00,44.0,17.99,N
TEMPERATURE (C),1991-08-16 00:00:00,0.0,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,0.2,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,1.2,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,1.6,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,2.6,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,3.6,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,3.9,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,4.9,18.97,N
TEMPERATURE (C),1991-08-16 00:00:00,5.6,18.96,N
TEMPERATURE (C),1991-08-16 00:00:00,6.1,18.96,N
