Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1991-08-13 00:00:00,0.3,25.6593,N
DENSITY (kgm-3),1991-08-13 00:00:00,1.0,25.6592,N
DENSITY (kgm-3),1991-08-13 00:00:00,1.6,25.6766,N
DENSITY (kgm-3),1991-08-13 00:00:00,2.3,25.6674,N
DENSITY (kgm-3),1991-08-13 00:00:00,2.8,25.6672,N
DENSITY (kgm-3),1991-08-13 00:00:00,3.6,25.6761,N
DENSITY (kgm-3),1991-08-13 00:00:00,4.1,25.676,N
DENSITY (kgm-3),1991-08-13 00:00:00,4.8,25.6715,N
DENSITY (kgm-3),1991-08-13 00:00:00,5.4,25.658,N
DENSITY (kgm-3),1991-08-13 00:00:00,5.9,25.6846,N
DENSITY (kgm-3),1991-08-13 00:00:00,6.6,25.6753,N
DENSITY (kgm-3),1991-08-13 00:00:00,7.3,25.6977,N
DENSITY (kgm-3),1991-08-13 00:00:00,7.8,25.6836,N
DENSITY (kgm-3),1991-08-13 00:00:00,8.5,25.6834,N
DENSITY (kgm-3),1991-08-13 00:00:00,9.0,25.6832,N
DENSITY (kgm-3),1991-08-13 00:00:00,9.8,25.683,N
DENSITY (kgm-3),1991-08-13 00:00:00,10.3,25.6829,N
DENSITY (kgm-3),1991-08-13 00:00:00,10.9,25.6826,N
DENSITY (kgm-3),1991-08-13 00:00:00,11.5,25.6825,N
DENSITY (kgm-3),1991-08-13 00:00:00,12.4,25.68,N
DENSITY (kgm-3),1991-08-13 00:00:00,12.8,25.68,N
DENSITY (kgm-3),1991-08-13 00:00:00,13.5,25.68,N
DENSITY (kgm-3),1991-08-13 00:00:00,13.9,25.68,N
DENSITY (kgm-3),1991-08-15 00:00:00,0.1,25.8237,N
DENSITY (kgm-3),1991-08-15 00:00:00,1.1,25.8462,N
DENSITY (kgm-3),1991-08-15 00:00:00,1.5,25.8461,N
DENSITY (kgm-3),1991-08-15 00:00:00,1.9,25.8459,N
DENSITY (kgm-3),1991-08-15 00:00:00,2.5,25.8458,N
DENSITY (kgm-3),1991-08-15 00:00:00,3.1,25.8638,N
DENSITY (kgm-3),1991-08-15 00:00:00,3.7,25.8592,N
DENSITY (kgm-3),1991-08-15 00:00:00,4.5,25.8545,N
DENSITY (kgm-3),1991-08-15 00:00:00,5.1,25.8683,N
DENSITY (kgm-3),1991-08-15 00:00:00,5.6,25.8864,N
DENSITY (kgm-3),1991-08-15 00:00:00,6.3,25.8726,N
DENSITY (kgm-3),1991-08-15 00:00:00,7.3,25.8723,N
DENSITY (kgm-3),1991-08-15 00:00:00,7.9,25.8814,N
DENSITY (kgm-3),1991-08-15 00:00:00,8.6,25.8811,N
DENSITY (kgm-3),1991-08-15 00:00:00,9.7,25.8807,N
DENSITY (kgm-3),1991-08-15 00:00:00,10.7,25.8624,N
DENSITY (kgm-3),1991-08-15 00:00:00,11.5,25.8761,N
DENSITY (kgm-3),1991-08-15 00:00:00,12.7,25.8849,N
DENSITY (kgm-3),1991-08-15 00:00:00,13.9,25.885,N
DENSITY (kgm-3),1991-08-15 00:00:00,15.1,25.885,N
DENSITY (kgm-3),1991-08-15 00:00:00,15.3,25.885,N
DENSITY (kgm-3),1991-08-16 00:00:00,0.3,25.8247,N
DENSITY (kgm-3),1991-08-16 00:00:00,0.7,25.8246,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.1,25.8245,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.2,25.8243,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.3,25.8243,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.6,25.8242,N
DENSITY (kgm-3),1991-08-16 00:00:00,1.8,25.8378,N
DENSITY (kgm-3),1991-08-16 00:00:00,2.1,25.8377,N
DENSITY (kgm-3),1991-08-16 00:00:00,2.5,25.8375,N
DENSITY (kgm-3),1991-08-16 00:00:00,2.7,25.833,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.1,25.8374,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.2,25.8239,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.3,25.8329,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.6,25.8237,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.7,25.8326,N
DENSITY (kgm-3),1991-08-16 00:00:00,3.8,25.8326,N
DENSITY (kgm-3),1991-08-16 00:00:00,4.2,25.8418,N
DENSITY (kgm-3),1991-08-16 00:00:00,4.3,25.8418,N
DENSITY (kgm-3),1991-08-16 00:00:00,4.5,25.8417,N
DENSITY (kgm-3),1991-08-16 00:00:00,4.8,25.8416,N
DENSITY (kgm-3),1991-08-16 00:00:00,5.0,25.8416,N
DENSITY (kgm-3),1991-08-16 00:00:00,5.7,25.8321,N
DENSITY (kgm-3),1991-08-16 00:00:00,5.9,25.8321,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.1,25.832,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.2,25.832,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.4,25.8319,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.5,25.8319,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.6,25.8319,N
DENSITY (kgm-3),1991-08-16 00:00:00,6.8,25.8318,N
DENSITY (kgm-3),1991-08-16 00:00:00,7.3,25.8317,N
DENSITY (kgm-3),1991-08-16 00:00:00,7.7,25.8315,N
DENSITY (kgm-3),1991-08-16 00:00:00,7.9,25.8315,N
DENSITY (kgm-3),1991-08-16 00:00:00,8.1,25.8314,N
DENSITY (kgm-3),1991-08-16 00:00:00,8.4,25.8405,N
DENSITY (kgm-3),1991-08-16 00:00:00,9.0,25.8402,N
DENSITY (kgm-3),1991-08-16 00:00:00,9.5,25.8311,N
DENSITY (kgm-3),1991-08-16 00:00:00,9.7,25.8309,N
DENSITY (kgm-3),1991-08-16 00:00:00,9.9,25.8309,N
DENSITY (kgm-3),1991-08-16 00:00:00,10.4,25.8398,N
DENSITY (kgm-3),1991-08-16 00:00:00,10.7,25.8398,N
DENSITY (kgm-3),1991-08-16 00:00:00,11.0,25.8579,N
DENSITY (kgm-3),1991-08-16 00:00:00,11.5,25.8578,N
DENSITY (kgm-3),1991-08-16 00:00:00,11.9,25.8485,N
DENSITY (kgm-3),1991-08-16 00:00:00,12.0,25.8485,N
DENSITY (kgm-3),1991-08-16 00:00:00,12.4,25.8575,N
DENSITY (kgm-3),1991-08-16 00:00:00,12.9,25.8574,N
DENSITY (kgm-3),1991-08-16 00:00:00,13.6,25.8572,N
DENSITY (kgm-3),1991-08-16 00:00:00,14.1,25.8662,N
DENSITY (kgm-3),1991-08-16 00:00:00,14.4,25.8661,N
DENSITY (kgm-3),1991-08-16 00:00:00,14.7,25.8524,N
DENSITY (kgm-3),1991-08-16 00:00:00,14.9,25.8524,N
DENSITY (kgm-3),1991-08-16 00:00:00,15.3,25.8615,N
DENSITY (kgm-3),1991-08-16 00:00:00,16.0,25.8656,N
DENSITY (kgm-3),1991-08-16 00:00:00,16.2,25.852,N
DENSITY (kgm-3),1991-08-16 00:00:00,16.6,25.8519,N
DENSITY (kgm-3),1991-08-16 00:00:00,16.7,25.8519,N
DENSITY (kgm-3),1991-08-16 00:00:00,17.5,25.8652,N
DENSITY (kgm-3),1991-08-16 00:00:00,17.8,25.8651,N
DENSITY (kgm-3),1991-08-16 00:00:00,18.0,25.8558,N
DENSITY (kgm-3),1991-08-18 00:00:00,0.0,25.6272,N
DENSITY (kgm-3),1991-08-18 00:00:00,0.5,25.618,N
DENSITY (kgm-3),1991-08-18 00:00:00,1.3,25.6178,N
DENSITY (kgm-3),1991-08-18 00:00:00,1.4,25.6177,N
DENSITY (kgm-3),1991-08-18 00:00:00,1.7,25.6177,N
DENSITY (kgm-3),1991-08-18 00:00:00,2.2,25.6176,N
DENSITY (kgm-3),1991-08-18 00:00:00,2.7,25.6173,N
DENSITY (kgm-3),1991-08-18 00:00:00,2.9,25.6173,N
DENSITY (kgm-3),1991-08-18 00:00:00,3.4,25.6172,N
DENSITY (kgm-3),1991-08-18 00:00:00,3.5,25.6171,N
DENSITY (kgm-3),1991-08-18 00:00:00,4.3,25.626,N
DENSITY (kgm-3),1991-08-18 00:00:00,4.4,25.626,N
DENSITY (kgm-3),1991-08-18 00:00:00,4.6,25.6257,N
DENSITY (kgm-3),1991-08-18 00:00:00,5.3,25.6256,N
DENSITY (kgm-3),1991-08-18 00:00:00,5.5,25.6255,N
DENSITY (kgm-3),1991-08-18 00:00:00,6.3,25.6211,N
DENSITY (kgm-3),1991-08-18 00:00:00,6.4,25.6211,N
DENSITY (kgm-3),1991-08-18 00:00:00,7.6,25.6534,N
DENSITY (kgm-3),1991-08-18 00:00:00,10.9,25.7009,N
DENSITY (kgm-3),1991-08-18 00:00:00,11.3,25.7008,N
DENSITY (kgm-3),1991-08-18 00:00:00,11.5,25.7007,N
DENSITY (kgm-3),1991-08-18 00:00:00,12.5,25.696,N
DENSITY (kgm-3),1991-08-18 00:00:00,13.1,25.6825,N
DENSITY (kgm-3),1991-08-18 00:00:00,13.6,25.6913,N
DENSITY (kgm-3),1991-08-18 00:00:00,14.2,25.6915,N
DENSITY (kgm-3),1991-08-18 00:00:00,14.5,25.7048,N
DENSITY (kgm-3),1991-08-18 00:00:00,15.0,25.7052,N
DENSITY (kgm-3),1991-08-18 00:00:00,15.5,25.6873,N
DENSITY (kgm-3),1991-08-18 00:00:00,16.4,25.728,N
DENSITY (kgm-3),1991-08-18 00:00:00,16.5,25.7102,N
DENSITY (kgm-3),1991-08-18 00:00:00,17.4,25.7146,N
DENSITY (kgm-3),1991-08-18 00:00:00,18.3,25.7277,N
DENSITY (kgm-3),1991-08-18 00:00:00,18.5,25.7369,N
DENSITY (kgm-3),1991-08-18 00:00:00,18.9,25.714,N
DENSITY (kgm-3),1991-08-20 00:00:00,0.0,25.6265,N
DENSITY (kgm-3),1991-08-20 00:00:00,0.9,25.5989,N
DENSITY (kgm-3),1991-08-20 00:00:00,1.4,25.5988,N
DENSITY (kgm-3),1991-08-20 00:00:00,1.6,25.6078,N
DENSITY (kgm-3),1991-08-20 00:00:00,1.7,25.5986,N
DENSITY (kgm-3),1991-08-20 00:00:00,2.1,25.5985,N
DENSITY (kgm-3),1991-08-20 00:00:00,2.8,25.5984,N
DENSITY (kgm-3),1991-08-20 00:00:00,2.9,25.5894,N
DENSITY (kgm-3),1991-08-20 00:00:00,3.6,25.6252,N
DENSITY (kgm-3),1991-08-20 00:00:00,3.8,25.6161,N
DENSITY (kgm-3),1991-08-20 00:00:00,3.9,25.6434,N
DENSITY (kgm-3),1991-08-20 00:00:00,4.4,25.6251,N
DENSITY (kgm-3),1991-08-20 00:00:00,4.6,25.6523,N
DENSITY (kgm-3),1991-08-20 00:00:00,4.7,25.6387,N
DENSITY (kgm-3),1991-08-20 00:00:00,5.0,25.6792,N
DENSITY (kgm-3),1991-08-20 00:00:00,5.2,25.6792,N
DENSITY (kgm-3),1991-08-20 00:00:00,5.3,25.6836,N
DENSITY (kgm-3),1991-08-20 00:00:00,5.8,25.688,N
DENSITY (kgm-3),1991-08-20 00:00:00,6.0,25.7015,N
DENSITY (kgm-3),1991-08-20 00:00:00,6.6,25.7283,N
DENSITY (kgm-3),1991-08-20 00:00:00,7.2,25.7054,N
DENSITY (kgm-3),1991-08-20 00:00:00,7.3,25.7097,N
