Variable,Date,Depth,Data,QC
TEMPERATURE (C),1991-08-15 00:00:00,0.1,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,0.5,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,1.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,2.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,3.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,4.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,5.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,6.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,7.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,8.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,9.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,10.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,11.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,12.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,13.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,14.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,15.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,16.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,17.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,18.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,19.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,20.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,21.0,17.3,N
TEMPERATURE (C),1991-08-15 00:00:00,22.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,23.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,24.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,25.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,26.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,27.0,17.35,N
TEMPERATURE (C),1991-08-15 00:00:00,28.0,17.35,N
