Variable,Date,Depth,Data,QC
SALINITY (pss),1994-03-21 00:00:00,0.0736,36.7467,N
SALINITY (pss),1994-03-21 00:00:00,0.0736,36.7501,N
SALINITY (pss),1994-03-21 00:00:00,0.075,36.7444,N
SALINITY (pss),1994-03-21 00:00:00,0.075,36.7485,N
SALINITY (pss),1994-03-21 00:00:00,0.075,36.7509,N
SALINITY (pss),1994-03-21 00:00:00,0.0777,36.7425,N
SALINITY (pss),1994-03-21 00:00:00,0.0777,36.7517,N
SALINITY (pss),1994-03-21 00:00:00,0.0789,36.7395,N
SALINITY (pss),1994-03-21 00:00:00,0.0789,36.751,N
SALINITY (pss),1994-03-21 00:00:00,0.0804,36.7379,N
SALINITY (pss),1994-03-21 00:00:00,0.0828,36.7503,N
SALINITY (pss),1994-03-21 00:00:00,0.084,36.7498,N
SALINITY (pss),1994-03-21 00:00:00,0.0864,36.7347,N
SALINITY (pss),1994-03-21 00:00:00,0.0882,36.7474,N
SALINITY (pss),1994-03-21 00:00:00,0.0909,36.7316,N
SALINITY (pss),1994-03-21 00:00:00,0.0945,36.7289,N
SALINITY (pss),1994-03-21 00:00:00,0.0945,36.7467,N
SALINITY (pss),1994-03-21 00:00:00,0.0987,36.7278,N
SALINITY (pss),1994-03-21 00:00:00,0.0987,36.7441,N
SALINITY (pss),1994-03-21 00:00:00,0.1014,36.7417,N
SALINITY (pss),1994-03-21 00:00:00,0.1038,36.7246,N
SALINITY (pss),1994-03-21 00:00:00,0.1074,36.7205,N
SALINITY (pss),1994-03-21 00:00:00,0.11,36.74,N
SALINITY (pss),1994-03-21 00:00:00,0.1142,36.7201,N
SALINITY (pss),1994-03-21 00:00:00,0.1142,36.739,N
SALINITY (pss),1994-03-21 00:00:00,0.1205,36.7184,N
SALINITY (pss),1994-03-21 00:00:00,0.1247,36.7171,N
SALINITY (pss),1994-03-21 00:00:00,0.1259,36.7377,N
SALINITY (pss),1994-03-21 00:00:00,0.1301,36.7159,N
SALINITY (pss),1994-03-21 00:00:00,0.1337,36.7146,N
SALINITY (pss),1994-03-21 00:00:00,0.1352,36.7379,N
SALINITY (pss),1994-03-21 00:00:00,0.1432,36.7145,N
SALINITY (pss),1994-03-21 00:00:00,0.1432,36.7389,N
SALINITY (pss),1994-03-21 00:00:00,0.1468,36.7129,N
SALINITY (pss),1994-03-21 00:00:00,0.16,36.7449,N
SALINITY (pss),1994-03-21 00:00:00,0.172,36.7478,N
SALINITY (pss),1994-03-21 00:00:00,0.186,36.7511,N
SALINITY (pss),1994-03-21 00:00:00,0.1953,36.8824,N
SALINITY (pss),1994-03-21 00:00:00,0.1962,36.8825,N
SALINITY (pss),1994-03-21 00:00:00,0.198,36.8831,N
SALINITY (pss),1994-03-21 00:00:00,0.1989,36.8828,N
SALINITY (pss),1994-03-21 00:00:00,0.2034,36.8838,N
SALINITY (pss),1994-03-21 00:00:00,0.2034,36.8842,N
SALINITY (pss),1994-03-21 00:00:00,0.2061,36.7581,N
SALINITY (pss),1994-03-21 00:00:00,0.2067,36.8851,N
SALINITY (pss),1994-03-21 00:00:00,0.2085,36.8841,N
SALINITY (pss),1994-03-21 00:00:00,0.2111,36.8829,N
SALINITY (pss),1994-03-21 00:00:00,0.2138,36.8841,N
SALINITY (pss),1994-03-21 00:00:00,0.2147,36.8836,N
SALINITY (pss),1994-03-21 00:00:00,0.2171,36.8818,N
SALINITY (pss),1994-03-21 00:00:00,0.2216,36.8821,N
SALINITY (pss),1994-03-21 00:00:00,0.2216,36.8812,N
SALINITY (pss),1994-03-21 00:00:00,0.2219,36.7696,N
SALINITY (pss),1994-03-21 00:00:00,0.2222,36.8816,N
SALINITY (pss),1994-03-21 00:00:00,0.227,36.88,N
SALINITY (pss),1994-03-21 00:00:00,0.2294,36.8825,N
SALINITY (pss),1994-03-21 00:00:00,0.2303,36.8824,N
