Variable,Date,Depth,Data,QC
DENSITY (kgm-3),1994-03-22 00:00:00,0.2569,25.1544,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2569,25.1548,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2623,25.1553,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2629,25.1538,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2629,25.1547,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2656,25.1537,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2674,25.1544,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2701,25.1543,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2728,25.1552,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2728,25.1553,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2734,25.1544,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2805,25.1545,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2811,25.1555,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2838,25.1558,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.291,25.1553,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2961,25.1555,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.2961,25.1542,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.297,25.1549,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3066,25.1541,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3093,25.1537,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3102,25.1536,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3119,25.153,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3251,25.153,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3251,25.1534,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3284,25.1528,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3365,25.153,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3487,25.1533,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3493,25.1523,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3511,25.1538,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3538,25.2113,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3538,25.2119,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3538,25.2117,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3562,25.2117,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3562,25.2113,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3571,25.2115,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3571,25.2103,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3571,25.2106,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3589,25.2128,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3589,25.2117,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3589,25.2104,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3589,25.2109,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3595,25.2115,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3595,25.2113,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3595,25.2125,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3616,25.2117,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3616,25.2112,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3622,25.2118,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3643,25.2109,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3643,25.2128,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3643,25.2114,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3643,25.2131,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3643,25.2137,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3649,25.2109,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3649,25.2133,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.367,25.1541,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.367,25.213,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.367,25.2135,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3694,25.2141,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3721,25.2147,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3727,25.2142,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.373,25.1539,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3748,25.2151,N
DENSITY (kgm-3),1994-03-22 00:00:00,0.3748,25.2145,N
