Variable,Date,Depth,Data,QC
TEMPERATURE (C),1994-03-21 00:00:00,0.1884,23.1442,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1884,23.1438,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1896,23.144,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1938,23.1433,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1938,23.1442,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1947,23.1434,N
TEMPERATURE (C),1994-03-21 00:00:00,0.1965,23.1434,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2001,23.1436,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2016,23.1437,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2043,23.1436,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2052,23.1433,N
TEMPERATURE (C),1994-03-21 00:00:00,0.207,23.1434,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2097,23.1437,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2129,23.1437,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2174,23.1439,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2201,23.145,N
TEMPERATURE (C),1994-03-21 00:00:00,0.221,23.1444,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2234,23.1448,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2306,23.145,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2306,23.1449,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2315,23.1453,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2357,23.1456,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2411,23.1465,N
TEMPERATURE (C),1994-03-21 00:00:00,0.242,23.1467,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2435,23.1471,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2494,23.1477,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2515,23.1486,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2515,23.1482,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2548,23.1487,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2593,23.1493,N
TEMPERATURE (C),1994-03-21 00:00:00,0.262,23.1492,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2629,23.1486,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2671,23.1497,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2734,23.1491,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2752,23.149,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2802,23.1487,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2835,23.149,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2961,23.148,N
TEMPERATURE (C),1994-03-21 00:00:00,0.2961,23.1477,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3021,23.147,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3116,23.1468,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3221,23.1462,N
TEMPERATURE (C),1994-03-21 00:00:00,0.323,23.1461,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3302,23.1459,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3463,23.1453,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3484,23.1456,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3535,23.1448,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3673,23.1454,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3798,23.1466,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3804,23.1467,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3825,23.1459,N
TEMPERATURE (C),1994-03-21 00:00:00,0.3981,23.1459,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4008,23.1453,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4041,23.1452,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4166,23.1453,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4349,23.145,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4355,23.1455,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4376,23.1453,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4558,23.1456,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4612,23.1455,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4669,23.1456,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4717,23.1454,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4926,23.1448,N
TEMPERATURE (C),1994-03-21 00:00:00,0.4932,23.1449,N
TEMPERATURE (C),1994-03-21 00:00:00,0.495,23.1451,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5108,23.1452,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5186,23.144,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5297,23.1443,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5345,23.1438,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5554,23.1431,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5632,23.1432,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5635,23.1436,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5817,23.1425,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5868,23.142,N
TEMPERATURE (C),1994-03-21 00:00:00,0.5922,23.1418,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6003,23.1428,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6077,23.1405,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6107,23.1414,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6182,23.1408,N
TEMPERATURE (C),1994-03-21 00:00:00,0.626,23.1407,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6314,23.1394,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6365,23.1399,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6421,23.1402,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6445,23.1404,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6526,23.1406,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6577,23.1409,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6601,23.1404,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6732,23.1401,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6759,23.141,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6786,23.1408,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6864,23.1392,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6942,23.1383,N
TEMPERATURE (C),1994-03-21 00:00:00,0.6996,23.1377,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7049,23.1389,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7208,23.1364,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7232,23.1357,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7256,23.1361,N
TEMPERATURE (C),1994-03-21 00:00:00,0.731,23.1349,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7441,23.1323,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7492,23.1337,N
TEMPERATURE (C),1994-03-21 00:00:00,0.757,23.1336,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7728,23.1297,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7755,23.1311,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7806,23.1309,N
TEMPERATURE (C),1994-03-21 00:00:00,0.786,23.1295,N
TEMPERATURE (C),1994-03-21 00:00:00,0.7991,23.128,N
TEMPERATURE (C),1994-03-21 00:00:00,0.8069,23.1279,N
TEMPERATURE (C),1994-03-21 00:00:00,0.812,23.1286,N
TEMPERATURE (C),1994-03-21 00:00:00,0.8201,23.1268,N
