Variable,Date,Depth,Data,QC
DpSpr (deg),2024-05-03 13:45:00,0,26.92,N
DpSpr (deg),2024-05-03 14:45:00,0,21.34,N
DpSpr (deg),2024-05-03 15:45:00,0,17.48,N
DpSpr (deg),2024-05-03 16:45:00,0,15.88,N
DpSpr (deg),2024-05-03 17:45:00,0,15.99,N
DpSpr (deg),2024-05-03 18:45:00,0,15.39,N
DpSpr (deg),2024-05-03 19:45:00,0,16.05,N
DpSpr (deg),2024-05-03 20:45:00,0,15.79,N
DpSpr (deg),2024-05-03 21:45:00,0,15.23,N
DpSpr (deg),2024-05-03 22:45:00,0,15.74,N
DpSpr (deg),2024-05-03 23:45:00,0,16.55,N
DpSpr (deg),2024-05-04 00:45:00,0,15.94,N
DpSpr (deg),2024-05-04 01:45:00,0,16.94,N
DpSpr (deg),2024-05-04 02:45:00,0,17.29,N
DpSpr (deg),2024-05-04 03:45:00,0,18.96,N
DpSpr (deg),2024-05-04 04:45:00,0,16.81,N
DpSpr (deg),2024-05-04 05:45:00,0,17.96,N
DpSpr (deg),2024-05-04 06:45:00,0,18.97,N
DpSpr (deg),2024-05-04 07:45:00,0,19.29,N
DpSpr (deg),2024-05-04 08:45:00,0,17.55,N
DpSpr (deg),2024-05-04 09:45:00,0,17.11,N
DpSpr (deg),2024-05-04 10:45:00,0,16.06,N
DpSpr (deg),2024-05-04 11:45:00,0,15.87,N
DpSpr (deg),2024-05-04 12:45:00,0,16.26,N
DpSpr (deg),2024-05-04 13:45:00,0,19.04,N
DpSpr (deg),2024-05-04 14:45:00,0,17.34,N
DpSpr (deg),2024-05-04 15:45:00,0,17.3,N
DpSpr (deg),2024-05-04 16:45:00,0,20.56,N
DpSpr (deg),2024-05-04 17:45:00,0,19.36,N
DpSpr (deg),2024-05-04 18:45:00,0,23.09,N
DpSpr (deg),2024-05-04 19:45:00,0,20.78,N
DpSpr (deg),2024-05-04 20:45:00,0,22.04,N
DpSpr (deg),2024-05-04 21:45:00,0,22.2,N
DpSpr (deg),2024-05-04 22:45:00,0,25.1,N
DpSpr (deg),2024-05-04 23:45:00,0,24.82,N
DpSpr (deg),2024-05-05 00:45:00,0,22.58,N
DpSpr (deg),2024-05-05 01:45:00,0,23.7,N
DpSpr (deg),2024-05-05 02:45:00,0,24.5,N
DpSpr (deg),2024-05-05 03:45:00,0,23.05,N
DpSpr (deg),2024-05-05 04:45:00,0,23.21,N
DpSpr (deg),2024-05-05 05:45:00,0,21.99,N
DpSpr (deg),2024-05-05 06:45:00,0,22.29,N
DpSpr (deg),2024-05-05 07:45:00,0,21.29,N
DpSpr (deg),2024-05-05 08:45:00,0,21.15,N
DpSpr (deg),2024-05-05 09:45:00,0,22.96,N
DpSpr (deg),2024-05-05 10:45:00,0,20.74,N
DpSpr (deg),2024-05-05 11:45:00,0,19.7,N
DpSpr (deg),2024-05-05 12:45:00,0,19.06,N
DpSpr (deg),2024-05-05 13:45:00,0,19.79,N
DpSpr (deg),2024-05-05 14:45:00,0,20.14,N
DpSpr (deg),2024-05-05 15:45:00,0,20.6,N
DpSpr (deg),2024-05-05 16:45:00,0,18.74,N
DpSpr (deg),2024-05-05 17:45:00,0,22.48,N
DpSpr (deg),2024-05-05 18:45:00,0,20.04,N
DpSpr (deg),2024-05-05 19:45:00,0,21.11,N
DpSpr (deg),2024-05-05 20:45:00,0,19.53,N
DpSpr (deg),2024-05-05 21:45:00,0,18.43,N
DpSpr (deg),2024-05-05 22:45:00,0,20.99,N
DpSpr (deg),2024-05-05 23:45:00,0,22.57,N
DpSpr (deg),2024-05-06 00:45:00,0,19.51,N
DpSpr (deg),2024-05-06 01:45:00,0,17.99,N
DpSpr (deg),2024-05-06 02:45:00,0,18.6,N
DpSpr (deg),2024-05-06 03:45:00,0,18.52,N
DpSpr (deg),2024-05-06 04:45:00,0,18.84,N
DpSpr (deg),2024-05-06 05:45:00,0,19.39,N
DpSpr (deg),2024-05-06 06:45:00,0,18.69,N
DpSpr (deg),2024-05-06 07:45:00,0,18.18,N
DpSpr (deg),2024-05-06 08:45:00,0,17.02,N
DpSpr (deg),2024-05-06 09:45:00,0,17.39,N
DpSpr (deg),2024-05-06 10:45:00,0,19.96,N
DpSpr (deg),2024-05-06 11:45:00,0,19.26,N
DpSpr (deg),2024-05-06 12:45:00,0,17.36,N
