Variable,Date,Depth,Data,QC
salt,2000-01-02 00:00:00,-0.02,35.69626585629844,N
salt,2000-01-03 00:00:00,-0.02,35.722384230527574,N
salt,2000-01-04 00:00:00,-0.02,35.72705856717467,N
salt,2000-01-05 00:00:00,-0.02,35.73668794962446,N
salt,2000-01-06 00:00:00,-0.02,35.74180695979702,N
salt,2000-01-07 00:00:00,-0.02,35.74828758829066,N
salt,2000-01-08 00:00:00,-0.02,35.753387442251764,N
salt,2000-01-09 00:00:00,-0.02,35.75718314652615,N
salt,2000-01-10 00:00:00,-0.02,35.756134350723464,N
salt,2000-01-11 00:00:00,-0.02,35.7314926561591,N
salt,2000-01-12 00:00:00,-0.02,35.74163928699008,N
salt,2000-01-13 00:00:00,-0.02,35.76442781167678,N
salt,2000-01-14 00:00:00,-0.02,35.71579103131328,N
salt,2000-01-15 00:00:00,-0.02,35.72222883176591,N
salt,2000-01-16 00:00:00,-0.02,35.75720647680268,N
salt,2000-01-17 00:00:00,-0.02,35.7780544920877,N
salt,2000-01-18 00:00:00,-0.02,35.76151457228713,N
salt,2000-01-19 00:00:00,-0.02,35.81405760265064,N
salt,2000-01-20 00:00:00,-0.02,35.729183594041665,N
salt,2000-01-21 00:00:00,-0.02,35.71117104456643,N
salt,2000-01-22 00:00:00,-0.02,35.71491286456857,N
salt,2000-01-23 00:00:00,-0.02,35.76204321845258,N
salt,2000-01-24 00:00:00,-0.02,35.78044689873405,N
salt,2000-01-25 00:00:00,-0.02,35.76185343318315,N
salt,2000-01-26 00:00:00,-0.02,35.764672574957544,N
salt,2000-01-27 00:00:00,-0.02,35.76148145858837,N
salt,2000-01-28 00:00:00,-0.02,35.78563767658131,N
salt,2000-01-29 00:00:00,-0.02,35.77676625580336,N
salt,2000-01-30 00:00:00,-0.02,35.73237661133092,N
salt,2000-01-31 00:00:00,-0.02,35.775102157417216,N
salt,2000-02-01 00:00:00,-0.02,35.77367867891864,N
salt,2000-02-02 00:00:00,-0.02,35.76652991890027,N
salt,2000-02-03 00:00:00,-0.02,35.771825509040994,N
salt,2000-02-04 00:00:00,-0.02,35.80132478490874,N
salt,2000-02-05 00:00:00,-0.02,35.779131692816094,N
salt,2000-02-06 00:00:00,-0.02,35.72147370227014,N
salt,2000-02-07 00:00:00,-0.02,35.73688820142219,N
salt,2000-02-08 00:00:00,-0.02,35.79212472161313,N
salt,2000-02-09 00:00:00,-0.02,35.767150582690945,N
salt,2000-02-10 00:00:00,-0.02,35.76392161952685,N
salt,2000-02-11 00:00:00,-0.02,35.732225386634326,N
salt,2000-02-12 00:00:00,-0.02,35.71281729795823,N
salt,2000-02-13 00:00:00,-0.02,35.75034315903605,N
salt,2000-02-14 00:00:00,-0.02,35.76037270352826,N
salt,2000-02-15 00:00:00,-0.02,35.77457005096463,N
salt,2000-02-16 00:00:00,-0.02,35.8242263459441,N
salt,2000-02-17 00:00:00,-0.02,35.88293764791084,N
salt,2000-02-18 00:00:00,-0.02,35.90526019379062,N
salt,2000-02-19 00:00:00,-0.02,35.83049728077079,N
salt,2000-02-20 00:00:00,-0.02,35.75617001004024,N
salt,2000-02-21 00:00:00,-0.02,35.74677635963502,N
salt,2000-02-22 00:00:00,-0.02,35.800656994937015,N
salt,2000-02-23 00:00:00,-0.02,35.82037958957352,N
salt,2000-02-24 00:00:00,-0.02,35.84152422741649,N
salt,2000-02-25 00:00:00,-0.02,35.87457444427788,N
salt,2000-02-26 00:00:00,-0.02,35.82394644396952,N
salt,2000-02-27 00:00:00,-0.02,35.831072284344394,N
salt,2000-02-28 00:00:00,-0.02,35.86395604621286,N
salt,2000-02-29 00:00:00,-0.02,35.851971351725595,N
salt,2000-03-01 00:00:00,-0.02,35.815058178533214,N
salt,2000-03-02 00:00:00,-0.02,35.931054347717094,N
salt,2000-03-03 00:00:00,-0.02,36.05008928416262,N
salt,2000-03-04 00:00:00,-0.02,36.06823820026302,N
salt,2000-03-05 00:00:00,-0.02,36.12477544826165,N
salt,2000-03-06 00:00:00,-0.02,36.11213760439601,N
salt,2000-03-07 00:00:00,-0.02,36.08751970573617,N
salt,2000-03-08 00:00:00,-0.02,36.123234759349344,N
salt,2000-03-09 00:00:00,-0.02,36.04521369538181,N
salt,2000-03-10 00:00:00,-0.02,35.901243863693004,N
salt,2000-03-11 00:00:00,-0.02,35.895093941120194,N
salt,2000-03-12 00:00:00,-0.02,35.93315810771073,N
salt,2000-03-13 00:00:00,-0.02,35.887008707869846,N
salt,2000-03-14 00:00:00,-0.02,35.78452723807918,N
salt,2000-03-15 00:00:00,-0.02,35.752902772861354,N
salt,2000-03-16 00:00:00,-0.02,35.755536769059376,N
salt,2000-03-17 00:00:00,-0.02,35.78808235313788,N
salt,2000-03-18 00:00:00,-0.02,35.81634363763646,N
salt,2000-03-19 00:00:00,-0.02,35.84521963501552,N
salt,2000-03-20 00:00:00,-0.02,35.82600479189601,N
salt,2000-03-21 00:00:00,-0.02,35.71351436911668,N
